EventID,NTSB_Number,EventType,EventDate,EventDateTime,EventTime,EventTimezone,EventState,EventSiteZipCode,Latitude,Longitude,LatitudeDecimal,LongitudeDecimal
20060601X00665,DFW06LA130,ACC,2006-05-18,2006-05-18 17:10:00.000,17:10,UTC,AR,72042,034139N,0911850W,34.219165,-91.313888
20060427X00489,ANC06FA048,ACC,2006-04-23,2006-04-23 19:58:00.000,19:58,UTC,AK,99635,061300N,0149339W,61.5,-149.552505
20060209X00189,CHI06FA077,ACC,2006-02-05,2006-02-05 22:54:00.000,22:54,UTC,WI,53094,431049N,0884959W,43.180278,-88.833053
20051229X02032,LAX06LA065,ACC,2005-12-22,2005-12-22 18:54:00.000,18:54,UTC,CA,91750,034530N,1174655W,34.091667,-117.781944
20051223X02008,LAX06LA056,ACC,2005-12-11,2005-12-11 23:00:00.000,23:00,UTC,CA,92880,033530N,1173615W,33.883335,-117.604164
20051122X01867,NYC06FA025,ACC,2005-11-05,2005-11-05 16:38:00.000,16:38,UTC,NJ,8804,401759N,0743114W,40.299758,-74.520545
20051019X01689,CHI06FA010,ACC,2005-10-14,2005-10-14 18:05:00.000,18:05,UTC,OH,44272,041557N,0811154W,41.099166,-81.198333
20051117X01851,CHI05WA216,ACC,2005-08-06,2005-08-06 19:22:00.000,19:22,UTC,NULL,NULL,044240N,0079430W,44.400001,-79.716667
20050831X01347,DFW05LA182,ACC,2005-07-14,2005-07-14 21:30:00.000,21:30,UTC,LA,71223,032560N,0091510W,32.933334,-91.849998
20050713X01010,CHI05WA182,ACC,2005-07-10,2005-07-10 22:15:00.000,22:15,UTC,NULL,NULL,501949N,1053333W,50.330276,-105.559165
20050726X01098,NYC05FA117,ACC,2005-07-10,2005-07-10 14:52:00.000,14:52,UTC,DE,19958,384748N,0075554W,38.796665,-75.098335
20050601X00691,DFW05LA134,ACC,2005-05-24,2005-05-24 21:20:00.000,21:20,UTC,LA,70546,301433N,0924024W,30.2425,-92.673332
20050321X00340,MIA05LA076,ACC,2005-03-13,2005-03-13 21:29:00.000,21:29,UTC,FL,32312,303633N,0841747W,30.609167,-84.296386
20050126X00109,CHI05FA055,ACC,2005-01-18,2005-01-18 17:28:00.000,17:28,UTC,OK,73551,342040N,0984850W,34.344444,-98.813888
